"","date","hits","keyword"
"1",2023-05-06,0,"Oviedo Alcalde"
"2",2023-05-07,0,"Oviedo Alcalde"
"3",2023-05-08,0,"Oviedo Alcalde"
"4",2023-05-09,0,"Oviedo Alcalde"
"5",2023-05-10,0,"Oviedo Alcalde"
"6",2023-05-11,0,"Oviedo Alcalde"
"7",2023-05-12,0,"Oviedo Alcalde"
"8",2023-05-13,0,"Oviedo Alcalde"
"9",2023-05-14,0,"Oviedo Alcalde"
"10",2023-05-15,0,"Oviedo Alcalde"
"11",2023-05-16,0,"Oviedo Alcalde"
"12",2023-05-17,0,"Oviedo Alcalde"
"13",2023-05-18,0,"Oviedo Alcalde"
"14",2023-05-19,0,"Oviedo Alcalde"
"15",2023-05-20,0,"Oviedo Alcalde"
"16",2023-05-21,0,"Oviedo Alcalde"
"17",2023-05-22,0,"Oviedo Alcalde"
"18",2023-05-23,25,"Oviedo Alcalde"
"19",2023-05-24,0,"Oviedo Alcalde"
"20",2023-05-25,0,"Oviedo Alcalde"
"21",2023-05-26,0,"Oviedo Alcalde"
"22",2023-05-27,43,"Oviedo Alcalde"
"23",2023-05-28,0,"Oviedo Alcalde"
"24",2023-05-29,0,"Oviedo Alcalde"
"25",2023-05-30,0,"Oviedo Alcalde"
"26",2023-05-31,0,"Oviedo Alcalde"
"27",2023-06-01,0,"Oviedo Alcalde"
"28",2023-06-02,0,"Oviedo Alcalde"
"29",2023-06-03,0,"Oviedo Alcalde"
"30",2023-06-04,0,"Oviedo Alcalde"
"31",2023-06-05,0,"Oviedo Alcalde"
"32",2023-06-06,0,"Oviedo Alcalde"
"33",2023-06-07,16,"Oviedo Alcalde"
"34",2023-06-08,0,"Oviedo Alcalde"
"35",2023-06-09,0,"Oviedo Alcalde"
"36",2023-06-10,0,"Oviedo Alcalde"
"37",2023-06-11,0,"Oviedo Alcalde"
"38",2023-06-12,38,"Oviedo Alcalde"
"39",2023-06-13,0,"Oviedo Alcalde"
"40",2023-06-14,0,"Oviedo Alcalde"
"41",2023-06-15,0,"Oviedo Alcalde"
"42",2023-06-16,0,"Oviedo Alcalde"
"43",2023-06-17,0,"Oviedo Alcalde"
"44",2023-06-18,0,"Oviedo Alcalde"
"45",2023-06-19,0,"Oviedo Alcalde"
"46",2023-06-20,0,"Oviedo Alcalde"
"47",2023-06-21,0,"Oviedo Alcalde"
"48",2023-06-22,0,"Oviedo Alcalde"
"49",2023-06-23,0,"Oviedo Alcalde"
"50",2023-06-24,0,"Oviedo Alcalde"
"51",2023-06-25,0,"Oviedo Alcalde"
"52",2023-06-26,0,"Oviedo Alcalde"
"53",2023-06-27,0,"Oviedo Alcalde"
"54",2023-06-28,0,"Oviedo Alcalde"
"55",2023-06-29,0,"Oviedo Alcalde"
"56",2023-06-30,0,"Oviedo Alcalde"
"57",2023-07-01,0,"Oviedo Alcalde"
"58",2023-07-02,0,"Oviedo Alcalde"
"59",2023-07-03,0,"Oviedo Alcalde"
"60",2023-07-04,0,"Oviedo Alcalde"
"61",2023-07-05,0,"Oviedo Alcalde"
"62",2023-07-06,0,"Oviedo Alcalde"
"63",2023-07-07,40,"Oviedo Alcalde"
"64",2023-07-08,0,"Oviedo Alcalde"
"65",2023-07-09,0,"Oviedo Alcalde"
"66",2023-07-10,0,"Oviedo Alcalde"
"67",2023-07-11,0,"Oviedo Alcalde"
"68",2023-07-12,37,"Oviedo Alcalde"
"69",2023-07-13,0,"Oviedo Alcalde"
"70",2023-07-14,30,"Oviedo Alcalde"
"71",2023-07-15,36,"Oviedo Alcalde"
"72",2023-07-16,70,"Oviedo Alcalde"
"73",2023-07-17,0,"Oviedo Alcalde"
"74",2023-07-18,0,"Oviedo Alcalde"
"75",2023-07-19,40,"Oviedo Alcalde"
"76",2023-07-20,0,"Oviedo Alcalde"
"77",2023-07-21,29,"Oviedo Alcalde"
"78",2023-07-22,0,"Oviedo Alcalde"
"79",2023-07-23,0,"Oviedo Alcalde"
"80",2023-07-24,38,"Oviedo Alcalde"
"81",2023-07-25,0,"Oviedo Alcalde"
"82",2023-07-26,69,"Oviedo Alcalde"
"83",2023-07-27,19,"Oviedo Alcalde"
"84",2023-07-28,45,"Oviedo Alcalde"
"85",2023-07-29,0,"Oviedo Alcalde"
"86",2023-07-30,0,"Oviedo Alcalde"
"87",2023-07-31,19,"Oviedo Alcalde"
"88",2023-08-01,0,"Oviedo Alcalde"
"89",2023-08-02,0,"Oviedo Alcalde"
"90",2023-05-06,0,"Bolivar Alcalde"
"91",2023-05-07,0,"Bolivar Alcalde"
"92",2023-05-08,0,"Bolivar Alcalde"
"93",2023-05-09,0,"Bolivar Alcalde"
"94",2023-05-10,0,"Bolivar Alcalde"
"95",2023-05-11,0,"Bolivar Alcalde"
"96",2023-05-12,0,"Bolivar Alcalde"
"97",2023-05-13,0,"Bolivar Alcalde"
"98",2023-05-14,0,"Bolivar Alcalde"
"99",2023-05-15,0,"Bolivar Alcalde"
"100",2023-05-16,0,"Bolivar Alcalde"
"101",2023-05-17,0,"Bolivar Alcalde"
"102",2023-05-18,0,"Bolivar Alcalde"
"103",2023-05-19,0,"Bolivar Alcalde"
"104",2023-05-20,0,"Bolivar Alcalde"
"105",2023-05-21,0,"Bolivar Alcalde"
"106",2023-05-22,0,"Bolivar Alcalde"
"107",2023-05-23,0,"Bolivar Alcalde"
"108",2023-05-24,0,"Bolivar Alcalde"
"109",2023-05-25,0,"Bolivar Alcalde"
"110",2023-05-26,0,"Bolivar Alcalde"
"111",2023-05-27,0,"Bolivar Alcalde"
"112",2023-05-28,0,"Bolivar Alcalde"
"113",2023-05-29,17,"Bolivar Alcalde"
"114",2023-05-30,21,"Bolivar Alcalde"
"115",2023-05-31,0,"Bolivar Alcalde"
"116",2023-06-01,39,"Bolivar Alcalde"
"117",2023-06-02,0,"Bolivar Alcalde"
"118",2023-06-03,0,"Bolivar Alcalde"
"119",2023-06-04,30,"Bolivar Alcalde"
"120",2023-06-05,0,"Bolivar Alcalde"
"121",2023-06-06,30,"Bolivar Alcalde"
"122",2023-06-07,0,"Bolivar Alcalde"
"123",2023-06-08,0,"Bolivar Alcalde"
"124",2023-06-09,0,"Bolivar Alcalde"
"125",2023-06-10,34,"Bolivar Alcalde"
"126",2023-06-11,0,"Bolivar Alcalde"
"127",2023-06-12,0,"Bolivar Alcalde"
"128",2023-06-13,0,"Bolivar Alcalde"
"129",2023-06-14,43,"Bolivar Alcalde"
"130",2023-06-15,0,"Bolivar Alcalde"
"131",2023-06-16,0,"Bolivar Alcalde"
"132",2023-06-17,0,"Bolivar Alcalde"
"133",2023-06-18,0,"Bolivar Alcalde"
"134",2023-06-19,0,"Bolivar Alcalde"
"135",2023-06-20,0,"Bolivar Alcalde"
"136",2023-06-21,0,"Bolivar Alcalde"
"137",2023-06-22,0,"Bolivar Alcalde"
"138",2023-06-23,0,"Bolivar Alcalde"
"139",2023-06-24,0,"Bolivar Alcalde"
"140",2023-06-25,0,"Bolivar Alcalde"
"141",2023-06-26,38,"Bolivar Alcalde"
"142",2023-06-27,24,"Bolivar Alcalde"
"143",2023-06-28,0,"Bolivar Alcalde"
"144",2023-06-29,0,"Bolivar Alcalde"
"145",2023-06-30,0,"Bolivar Alcalde"
"146",2023-07-01,33,"Bolivar Alcalde"
"147",2023-07-02,0,"Bolivar Alcalde"
"148",2023-07-03,0,"Bolivar Alcalde"
"149",2023-07-04,31,"Bolivar Alcalde"
"150",2023-07-05,0,"Bolivar Alcalde"
"151",2023-07-06,0,"Bolivar Alcalde"
"152",2023-07-07,0,"Bolivar Alcalde"
"153",2023-07-08,0,"Bolivar Alcalde"
"154",2023-07-09,0,"Bolivar Alcalde"
"155",2023-07-10,0,"Bolivar Alcalde"
"156",2023-07-11,0,"Bolivar Alcalde"
"157",2023-07-12,0,"Bolivar Alcalde"
"158",2023-07-13,0,"Bolivar Alcalde"
"159",2023-07-14,0,"Bolivar Alcalde"
"160",2023-07-15,0,"Bolivar Alcalde"
"161",2023-07-16,0,"Bolivar Alcalde"
"162",2023-07-17,0,"Bolivar Alcalde"
"163",2023-07-18,0,"Bolivar Alcalde"
"164",2023-07-19,0,"Bolivar Alcalde"
"165",2023-07-20,0,"Bolivar Alcalde"
"166",2023-07-21,0,"Bolivar Alcalde"
"167",2023-07-22,0,"Bolivar Alcalde"
"168",2023-07-23,0,"Bolivar Alcalde"
"169",2023-07-24,27,"Bolivar Alcalde"
"170",2023-07-25,0,"Bolivar Alcalde"
"171",2023-07-26,0,"Bolivar Alcalde"
"172",2023-07-27,0,"Bolivar Alcalde"
"173",2023-07-28,0,"Bolivar Alcalde"
"174",2023-07-29,0,"Bolivar Alcalde"
"175",2023-07-30,0,"Bolivar Alcalde"
"176",2023-07-31,0,"Bolivar Alcalde"
"177",2023-08-01,0,"Bolivar Alcalde"
"178",2023-08-02,0,"Bolivar Alcalde"
"179",2023-05-06,33,"Galan Alcalde"
"180",2023-05-07,42,"Galan Alcalde"
"181",2023-05-08,0,"Galan Alcalde"
"182",2023-05-09,0,"Galan Alcalde"
"183",2023-05-10,18,"Galan Alcalde"
"184",2023-05-11,0,"Galan Alcalde"
"185",2023-05-12,0,"Galan Alcalde"
"186",2023-05-13,36,"Galan Alcalde"
"187",2023-05-14,0,"Galan Alcalde"
"188",2023-05-15,0,"Galan Alcalde"
"189",2023-05-16,0,"Galan Alcalde"
"190",2023-05-17,0,"Galan Alcalde"
"191",2023-05-18,0,"Galan Alcalde"
"192",2023-05-19,0,"Galan Alcalde"
"193",2023-05-20,81,"Galan Alcalde"
"194",2023-05-21,0,"Galan Alcalde"
"195",2023-05-22,0,"Galan Alcalde"
"196",2023-05-23,0,"Galan Alcalde"
"197",2023-05-24,0,"Galan Alcalde"
"198",2023-05-25,35,"Galan Alcalde"
"199",2023-05-26,0,"Galan Alcalde"
"200",2023-05-27,0,"Galan Alcalde"
"201",2023-05-28,0,"Galan Alcalde"
"202",2023-05-29,0,"Galan Alcalde"
"203",2023-05-30,0,"Galan Alcalde"
"204",2023-05-31,0,"Galan Alcalde"
