"","date","hits","keyword"
"1",2023-05-09,46,"Oviedo Propuestas"
"2",2023-05-10,28,"Oviedo Propuestas"
"3",2023-05-11,30,"Oviedo Propuestas"
"4",2023-05-12,0,"Oviedo Propuestas"
"5",2023-05-13,0,"Oviedo Propuestas"
"6",2023-05-14,0,"Oviedo Propuestas"
"7",2023-05-15,35,"Oviedo Propuestas"
"8",2023-05-16,0,"Oviedo Propuestas"
"9",2023-05-17,0,"Oviedo Propuestas"
"10",2023-05-18,0,"Oviedo Propuestas"
"11",2023-05-19,0,"Oviedo Propuestas"
"12",2023-05-20,0,"Oviedo Propuestas"
"13",2023-05-21,0,"Oviedo Propuestas"
"14",2023-05-22,29,"Oviedo Propuestas"
"15",2023-05-23,23,"Oviedo Propuestas"
"16",2023-05-24,0,"Oviedo Propuestas"
"17",2023-05-25,0,"Oviedo Propuestas"
"18",2023-05-26,51,"Oviedo Propuestas"
"19",2023-05-27,0,"Oviedo Propuestas"
"20",2023-05-28,50,"Oviedo Propuestas"
"21",2023-05-29,0,"Oviedo Propuestas"
"22",2023-05-30,0,"Oviedo Propuestas"
"23",2023-05-31,0,"Oviedo Propuestas"
"24",2023-06-01,0,"Oviedo Propuestas"
"25",2023-06-02,24,"Oviedo Propuestas"
"26",2023-06-03,29,"Oviedo Propuestas"
"27",2023-06-04,0,"Oviedo Propuestas"
"28",2023-06-05,0,"Oviedo Propuestas"
"29",2023-06-06,0,"Oviedo Propuestas"
"30",2023-06-07,0,"Oviedo Propuestas"
"31",2023-06-08,0,"Oviedo Propuestas"
"32",2023-06-09,0,"Oviedo Propuestas"
"33",2023-06-10,0,"Oviedo Propuestas"
"34",2023-06-11,0,"Oviedo Propuestas"
"35",2023-06-12,0,"Oviedo Propuestas"
"36",2023-06-13,0,"Oviedo Propuestas"
"37",2023-06-14,0,"Oviedo Propuestas"
"38",2023-06-15,0,"Oviedo Propuestas"
"39",2023-06-16,0,"Oviedo Propuestas"
"40",2023-06-17,0,"Oviedo Propuestas"
"41",2023-06-18,0,"Oviedo Propuestas"
"42",2023-06-19,0,"Oviedo Propuestas"
"43",2023-06-20,0,"Oviedo Propuestas"
