"","date","hits","keyword"
"1",2023-05-19,0,"Ortiz Propuestas"
"2",2023-05-20,0,"Ortiz Propuestas"
"3",2023-05-21,0,"Ortiz Propuestas"
"4",2023-05-22,0,"Ortiz Propuestas"
"5",2023-05-23,0,"Ortiz Propuestas"
"6",2023-05-24,0,"Ortiz Propuestas"
"7",2023-05-25,0,"Ortiz Propuestas"
"8",2023-05-26,0,"Ortiz Propuestas"
"9",2023-05-27,0,"Ortiz Propuestas"
"10",2023-05-28,0,"Ortiz Propuestas"
"11",2023-05-29,0,"Ortiz Propuestas"
"12",2023-05-30,0,"Ortiz Propuestas"
"13",2023-05-31,0,"Ortiz Propuestas"
"14",2023-06-01,0,"Ortiz Propuestas"
"15",2023-06-02,0,"Ortiz Propuestas"
"16",2023-06-03,0,"Ortiz Propuestas"
"17",2023-06-04,0,"Ortiz Propuestas"
"18",2023-06-05,0,"Ortiz Propuestas"
"19",2023-06-06,0,"Ortiz Propuestas"
"20",2023-06-07,0,"Ortiz Propuestas"
"21",2023-06-08,0,"Ortiz Propuestas"
"22",2023-06-09,0,"Ortiz Propuestas"
"23",2023-06-10,0,"Ortiz Propuestas"
"24",2023-06-11,0,"Ortiz Propuestas"
"25",2023-06-12,0,"Ortiz Propuestas"
"26",2023-06-13,0,"Ortiz Propuestas"
"27",2023-06-14,0,"Ortiz Propuestas"
"28",2023-06-15,0,"Ortiz Propuestas"
"29",2023-06-16,0,"Ortiz Propuestas"
"30",2023-06-17,0,"Ortiz Propuestas"
"31",2023-06-18,0,"Ortiz Propuestas"
"32",2023-06-19,0,"Ortiz Propuestas"
"33",2023-06-20,0,"Ortiz Propuestas"
"34",2023-06-21,0,"Ortiz Propuestas"
"35",2023-06-22,0,"Ortiz Propuestas"
"36",2023-06-23,0,"Ortiz Propuestas"
"37",2023-06-24,0,"Ortiz Propuestas"
"38",2023-06-25,0,"Ortiz Propuestas"
"39",2023-06-26,0,"Ortiz Propuestas"
"40",2023-06-27,0,"Ortiz Propuestas"
"41",2023-06-28,0,"Ortiz Propuestas"
