"","date","hits","keyword"
"1",2023-05-19,0,"Roberto Ortiz"
"2",2023-05-20,0,"Roberto Ortiz"
"3",2023-05-21,0,"Roberto Ortiz"
"4",2023-05-22,0,"Roberto Ortiz"
"5",2023-05-23,0,"Roberto Ortiz"
"6",2023-05-24,0,"Roberto Ortiz"
"7",2023-05-25,11,"Roberto Ortiz"
"8",2023-05-26,21,"Roberto Ortiz"
"9",2023-05-27,0,"Roberto Ortiz"
"10",2023-05-28,54,"Roberto Ortiz"
"11",2023-05-29,0,"Roberto Ortiz"
"12",2023-05-30,0,"Roberto Ortiz"
"13",2023-05-31,0,"Roberto Ortiz"
"14",2023-06-01,0,"Roberto Ortiz"
"15",2023-06-02,0,"Roberto Ortiz"
"16",2023-06-03,19,"Roberto Ortiz"
"17",2023-06-04,0,"Roberto Ortiz"
"18",2023-06-05,0,"Roberto Ortiz"
"19",2023-06-06,0,"Roberto Ortiz"
"20",2023-06-07,0,"Roberto Ortiz"
"21",2023-06-08,0,"Roberto Ortiz"
"22",2023-06-09,0,"Roberto Ortiz"
"23",2023-06-10,0,"Roberto Ortiz"
"24",2023-06-11,0,"Roberto Ortiz"
"25",2023-06-12,32,"Roberto Ortiz"
"26",2023-06-13,0,"Roberto Ortiz"
"27",2023-06-14,0,"Roberto Ortiz"
"28",2023-06-15,0,"Roberto Ortiz"
"29",2023-06-16,0,"Roberto Ortiz"
"30",2023-06-17,0,"Roberto Ortiz"
"31",2023-06-18,0,"Roberto Ortiz"
"32",2023-06-19,0,"Roberto Ortiz"
"33",2023-06-20,0,"Roberto Ortiz"
"34",2023-06-21,35,"Roberto Ortiz"
"35",2023-06-22,27,"Roberto Ortiz"
"36",2023-06-23,12,"Roberto Ortiz"
"37",2023-06-24,0,"Roberto Ortiz"
"38",2023-06-25,0,"Roberto Ortiz"
"39",2023-06-26,0,"Roberto Ortiz"
"40",2023-06-27,0,"Roberto Ortiz"
"41",2023-06-28,37,"Roberto Ortiz"
"42",2023-06-29,0,"Roberto Ortiz"
"43",2023-06-30,19,"Roberto Ortiz"
"44",2023-07-01,0,"Roberto Ortiz"
"45",2023-07-02,0,"Roberto Ortiz"
"46",2023-07-03,0,"Roberto Ortiz"
"47",2023-07-04,30,"Roberto Ortiz"
"48",2023-07-05,0,"Roberto Ortiz"
"49",2023-07-06,0,"Roberto Ortiz"
"50",2023-07-07,0,"Roberto Ortiz"
"51",2023-07-08,0,"Roberto Ortiz"
"52",2023-07-09,100,"Roberto Ortiz"
"53",2023-07-10,0,"Roberto Ortiz"
"54",2023-07-11,0,"Roberto Ortiz"
"55",2023-07-12,0,"Roberto Ortiz"
"56",2023-07-13,0,"Roberto Ortiz"
"57",2023-07-14,45,"Roberto Ortiz"
"58",2023-07-15,24,"Roberto Ortiz"
"59",2023-07-16,0,"Roberto Ortiz"
"60",2023-07-17,21,"Roberto Ortiz"
"61",2023-07-18,0,"Roberto Ortiz"
"62",2023-07-19,33,"Roberto Ortiz"
"63",2023-07-20,0,"Roberto Ortiz"
"64",2023-07-21,0,"Roberto Ortiz"
"65",2023-07-22,24,"Roberto Ortiz"
"66",2023-07-23,0,"Roberto Ortiz"
"67",2023-07-24,0,"Roberto Ortiz"
"68",2023-07-25,21,"Roberto Ortiz"
"69",2023-07-26,0,"Roberto Ortiz"
