"","date","hits","keyword"
"1",2023-05-06,0,"Juan Oviedo"
"2",2023-05-07,0,"Juan Oviedo"
"3",2023-05-08,0,"Juan Oviedo"
"4",2023-05-09,17,"Juan Oviedo"
"5",2023-05-10,0,"Juan Oviedo"
"6",2023-05-11,0,"Juan Oviedo"
"7",2023-05-12,32,"Juan Oviedo"
"8",2023-05-13,28,"Juan Oviedo"
"9",2023-05-14,0,"Juan Oviedo"
"10",2023-05-15,0,"Juan Oviedo"
"11",2023-05-16,0,"Juan Oviedo"
"12",2023-05-17,0,"Juan Oviedo"
"13",2023-05-18,0,"Juan Oviedo"
"14",2023-05-19,0,"Juan Oviedo"
"15",2023-05-20,0,"Juan Oviedo"
"16",2023-05-21,0,"Juan Oviedo"
"17",2023-05-22,0,"Juan Oviedo"
"18",2023-05-23,0,"Juan Oviedo"
"19",2023-05-24,47,"Juan Oviedo"
"20",2023-05-25,0,"Juan Oviedo"
"21",2023-05-26,19,"Juan Oviedo"
"22",2023-05-27,0,"Juan Oviedo"
"23",2023-05-28,22,"Juan Oviedo"
"24",2023-05-29,28,"Juan Oviedo"
"25",2023-05-30,20,"Juan Oviedo"
"26",2023-05-31,0,"Juan Oviedo"
"27",2023-06-01,0,"Juan Oviedo"
"28",2023-06-02,18,"Juan Oviedo"
"29",2023-06-03,42,"Juan Oviedo"
"30",2023-06-04,0,"Juan Oviedo"
"31",2023-06-05,0,"Juan Oviedo"
"32",2023-06-06,17,"Juan Oviedo"
"33",2023-06-07,0,"Juan Oviedo"
"34",2023-06-08,0,"Juan Oviedo"
"35",2023-06-09,11,"Juan Oviedo"
"36",2023-06-10,44,"Juan Oviedo"
"37",2023-06-11,23,"Juan Oviedo"
"38",2023-06-12,0,"Juan Oviedo"
"39",2023-06-13,16,"Juan Oviedo"
"40",2023-06-14,13,"Juan Oviedo"
"41",2023-06-15,0,"Juan Oviedo"
"42",2023-06-16,20,"Juan Oviedo"
"43",2023-06-17,0,"Juan Oviedo"
"44",2023-06-18,19,"Juan Oviedo"
"45",2023-06-19,0,"Juan Oviedo"
"46",2023-06-20,17,"Juan Oviedo"
"47",2023-06-21,0,"Juan Oviedo"
"48",2023-06-22,0,"Juan Oviedo"
"49",2023-06-23,0,"Juan Oviedo"
"50",2023-06-24,0,"Juan Oviedo"
"51",2023-06-25,0,"Juan Oviedo"
"52",2023-06-26,0,"Juan Oviedo"
"53",2023-06-27,0,"Juan Oviedo"
"54",2023-06-28,0,"Juan Oviedo"
"55",2023-06-29,14,"Juan Oviedo"
"56",2023-06-30,31,"Juan Oviedo"
"57",2023-07-01,18,"Juan Oviedo"
"58",2023-07-02,0,"Juan Oviedo"
"59",2023-07-03,24,"Juan Oviedo"
"60",2023-07-04,22,"Juan Oviedo"
"61",2023-07-05,0,"Juan Oviedo"
"62",2023-07-06,0,"Juan Oviedo"
"63",2023-07-07,39,"Juan Oviedo"
"64",2023-07-08,0,"Juan Oviedo"
"65",2023-07-09,36,"Juan Oviedo"
"66",2023-07-10,0,"Juan Oviedo"
"67",2023-07-11,21,"Juan Oviedo"
"68",2023-07-12,0,"Juan Oviedo"
"69",2023-07-13,26,"Juan Oviedo"
"70",2023-07-14,20,"Juan Oviedo"
"71",2023-07-15,40,"Juan Oviedo"
"72",2023-07-16,0,"Juan Oviedo"
"73",2023-07-17,17,"Juan Oviedo"
"74",2023-07-18,0,"Juan Oviedo"
"75",2023-07-19,27,"Juan Oviedo"
"76",2023-07-20,16,"Juan Oviedo"
"77",2023-07-21,0,"Juan Oviedo"
"78",2023-07-22,17,"Juan Oviedo"
"79",2023-07-23,17,"Juan Oviedo"
"80",2023-07-24,0,"Juan Oviedo"
"81",2023-07-25,23,"Juan Oviedo"
"82",2023-07-26,40,"Juan Oviedo"
"83",2023-07-27,81,"Juan Oviedo"
"84",2023-07-28,14,"Juan Oviedo"
"85",2023-07-29,0,"Juan Oviedo"
"86",2023-07-30,20,"Juan Oviedo"
"87",2023-07-31,16,"Juan Oviedo"
"88",2023-08-01,23,"Juan Oviedo"
"89",2023-08-02,24,"Juan Oviedo"
"90",2023-05-06,26,"Gustavo Bolivar"
"91",2023-05-07,0,"Gustavo Bolivar"
"92",2023-05-08,0,"Gustavo Bolivar"
"93",2023-05-09,17,"Gustavo Bolivar"
"94",2023-05-10,17,"Gustavo Bolivar"
"95",2023-05-11,0,"Gustavo Bolivar"
"96",2023-05-12,0,"Gustavo Bolivar"
"97",2023-05-13,0,"Gustavo Bolivar"
"98",2023-05-14,0,"Gustavo Bolivar"
"99",2023-05-15,20,"Gustavo Bolivar"
"100",2023-05-16,13,"Gustavo Bolivar"
"101",2023-05-17,17,"Gustavo Bolivar"
"102",2023-05-18,0,"Gustavo Bolivar"
"103",2023-05-19,0,"Gustavo Bolivar"
"104",2023-05-20,24,"Gustavo Bolivar"
"105",2023-05-21,16,"Gustavo Bolivar"
"106",2023-05-22,0,"Gustavo Bolivar"
"107",2023-05-23,0,"Gustavo Bolivar"
"108",2023-05-24,18,"Gustavo Bolivar"
"109",2023-05-25,13,"Gustavo Bolivar"
"110",2023-05-26,0,"Gustavo Bolivar"
"111",2023-05-27,0,"Gustavo Bolivar"
"112",2023-05-28,0,"Gustavo Bolivar"
"113",2023-05-29,16,"Gustavo Bolivar"
"114",2023-05-30,26,"Gustavo Bolivar"
"115",2023-05-31,0,"Gustavo Bolivar"
"116",2023-06-01,0,"Gustavo Bolivar"
"117",2023-06-02,17,"Gustavo Bolivar"
"118",2023-06-03,37,"Gustavo Bolivar"
"119",2023-06-04,0,"Gustavo Bolivar"
"120",2023-06-05,59,"Gustavo Bolivar"
"121",2023-06-06,67,"Gustavo Bolivar"
"122",2023-06-07,14,"Gustavo Bolivar"
"123",2023-06-08,15,"Gustavo Bolivar"
"124",2023-06-09,0,"Gustavo Bolivar"
"125",2023-06-10,30,"Gustavo Bolivar"
"126",2023-06-11,0,"Gustavo Bolivar"
"127",2023-06-12,41,"Gustavo Bolivar"
"128",2023-06-13,0,"Gustavo Bolivar"
"129",2023-06-14,22,"Gustavo Bolivar"
"130",2023-06-15,0,"Gustavo Bolivar"
"131",2023-06-16,19,"Gustavo Bolivar"
